% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,167,2,1,1,167.0,2.0,167.0,2.0,0,1,28.2750925925,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,275,6,2,2,137.5,3.0,137.5,3.0,0,1,38.5345601854,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
4,1346,80,4,4,336.5,20.0,336.5,20.0,0,1,20.5361574073,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
4,343,78,4,4,85.75,19.5,85.75,19.5,0,2,17.4244328705,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
3,2440,440,3,3,813.333333333,146.666666667,813.333333333,146.666666667,0,3,20.533865741,0,0,valid
6,179,30,6,6,29.8333333333,5.0,29.8333333333,5.0,1,2,20.5361574073,44.2806250001,44.2806250001,valid
4,351,22,4,4,87.75,5.5,87.75,5.5,0,2,17.4244328705,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
7,1268,587,7,7,181.142857143,83.8571428571,181.142857143,83.8571428571,0,3,20.2409606483,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
8,2533,1723,8,8,316.625,215.375,316.625,215.375,0,3,14.3658796297,0,0,valid
10,836,293,10,10,83.6,29.3,83.6,29.3,4,2,14.3658796297,14.3658796297,14.3658796297,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,72,10,3,3,24.0,3.33333333333,24.0,3.33333333333,1,2,70.2621875,80.3571875002,80.3571875002,valid
8,552,119,8,8,69.0,14.875,69.0,14.875,4,2,15.2406828706,15.2406828706,15.2406828706,valid
3,588,74,3,3,196.0,24.6666666667,196.0,24.6666666667,0,2,17.4244328705,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,80.3571875002,80.3571875002,80.3571875002,valid
7,1147,650,7,7,163.857142857,92.8571428571,163.857142857,92.8571428571,0,3,20.533865741,0,0,valid
14,1384,521,14,14,98.8571428571,37.2142857143,98.8571428571,37.2142857143,4,3,15.8778125001,15.8778125001,15.8778125001,valid
1,163,2,1,1,163.0,2.0,163.0,2.0,0,1,38.5345601854,0,0,valid
5,279,24,5,5,55.8,4.8,55.8,4.8,0,2,44.2806250001,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
3,211,74,3,3,70.3333333333,24.6666666667,70.3333333333,24.6666666667,0,2,17.4244328705,0,0,valid
2,175,10,2,2,87.5,5.0,87.5,5.0,0,2,50.2871296299,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,123,2,1,1,123.0,2.0,123.0,2.0,0,1,75.1385185188,0,0,valid
7,1634,303,7,7,233.428571429,43.2857142857,233.428571429,43.2857142857,0,2,15.2406828706,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,235,12,3,3,78.3333333333,4.0,78.3333333333,4.0,1,1,42.315914352,50.2871296299,50.2871296299,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,60,21,2,2,30.0,10.5,30.0,10.5,1,1,15.534675926,15.534675926,15.534675926,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
7,1280,185,7,7,182.857142857,26.4285714286,182.857142857,26.4285714286,2,2,28.2730439818,44.2806250001,44.2806250001,valid
3,600,12,3,3,200.0,4.0,200.0,4.0,0,1,22.4602083336,0,0,valid
1,522,2,1,1,522.0,2.0,522.0,2.0,0,1,84.1079282407,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,95,2,1,1,95.0,2.0,95.0,2.0,0,1,50.2871296299,50.2871296299,50.2871296299,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
10,1049,146,10,10,104.9,14.6,104.9,14.6,0,2,15.3853703705,0,0,valid
1,147,2,1,1,147.0,2.0,147.0,2.0,0,1,50.2871296299,50.2871296299,50.2871296299,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
