% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
12,3252,1723,12,12,271.0,143.583333333,271.0,143.583333333,5,4,789,3755024500.05,-8462538916.59,valid
1,502,2,1,1,502.0,2.0,502.0,2.0,0,1,39,1228083432.95,-9818824.55273,bugged
2,295,46,2,2,147.5,23.0,147.5,23.0,0,1,632,611495997.314,-225842787.741,valid
2,691,18,2,2,345.5,9.0,345.5,9.0,0,2,69,1652920643.52,-88333594.731,valid
7,3656,609,7,7,522.285714286,87.0,522.285714286,87.0,1,2,779,7482862037.04,-2990061860.1,valid
10,1837,78,10,10,183.7,7.8,183.7,7.8,4,2,665,4319816350.08,-382517922.84,valid
2,331,46,2,2,165.5,23.0,165.5,23.0,1,1,634,699905036.809,-225829399.376,valid
6,605,60,6,6,100.833333333,10.0,100.833333333,10.0,0,2,83,1338471093.14,-294579705.775,valid
1,111,2,1,1,111.0,2.0,111.0,2.0,0,1,39,267722188.383,-9823393.70904,bugged
2,319,46,2,2,159.5,23.0,159.5,23.0,0,1,632,670435357.274,-225833862.466,valid
6,1195,159,6,6,199.166666667,26.5,199.166666667,26.5,1,3,644,2544221167.73,-780621683.357,bugged
2,307,42,2,2,153.5,21.0,153.5,21.0,0,1,632,650788903.709,-206190289.744,valid
4,373,89,4,4,93.25,22.25,93.25,22.25,0,1,778,697449229.558,-437029047.984,valid
2,247,46,2,2,123.5,23.0,123.5,23.0,0,1,632,493617278.118,-225860639.027,valid
2,279,42,2,2,139.5,21.0,139.5,21.0,0,1,636,582026317.886,-206200703.376,valid
6,264,275,6,6,44.0,45.8333333333,44.0,45.8333333333,0,1,648,-27075723.8223,-1350761964.01,valid
7,954,97,7,7,136.285714286,13.8571428571,136.285714286,13.8571428571,1,2,782,2104633178.49,-476115989.604,valid
5,459,48,5,5,91.8,9.6,91.8,9.6,1,2,636,1009337269.26,-235606663.006,valid
5,2069,208,5,5,413.8,41.6,413.8,41.6,1,1,779,4570256313.09,-1020924537.52,valid
4,560,53,4,4,140.0,13.25,140.0,13.25,1,2,636,1245094707.57,-260129144.789,valid
7,2127,352,7,7,303.857142857,50.2857142857,303.857142857,50.2857142857,0,2,785,4359056939.81,-1728254296.57,valid
4,1086,95,4,4,271.5,23.75,271.5,23.75,0,1,779,2433704528.64,-466235790.742,valid
6,948,109,6,6,158.0,18.1666666667,158.0,18.1666666667,0,1,778,2060477548.29,-535113531.837,valid
10,1424,101,10,10,142.4,10.1,142.4,10.1,0,2,642,3249185011.57,-495740040.491,valid
7,983,99,7,7,140.428571429,14.1428571429,140.428571429,14.1428571429,0,2,779,2170940668.8,-485931543.49,valid
