% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,187,2,1,1,187.0,2.0,187.0,2.0,0,1,44,454603723.843,-9790533.94865,valid
1,12,12,1,1,12.0,12.0,12.0,12.0,0,1,130,0.0,-58976060.1842,valid
2,177,6,2,2,88.5,3.0,88.5,3.0,0,2,3,420172720.197,-29421731.3194,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,130,0.0,-19658686.7281,valid
3,485,71,3,3,161.666666667,23.6666666667,161.666666667,23.6666666667,0,1,90,1017301663.32,-348824166.682,valid
6,2967,1253,6,6,494.5,208.833333333,494.5,208.833333333,0,2,135,4211920558.47,-6158217175.02,valid
2,732,34,2,2,366.0,17.0,366.0,17.0,0,2,3,1715314783.17,-167071477.026,valid
1,235,2,1,1,235.0,2.0,235.0,2.0,0,1,119,572407927.816,-9630926.94299,valid
9,190,121,9,9,21.1111111111,13.4444444444,21.1111111111,13.4444444444,8,5,188,169566890.661,-594686137.561,valid
5,127,71,5,5,25.4,14.2,25.4,14.2,1,4,133,137575002.005,-348816032.65,valid
1,95,2,1,1,95.0,2.0,95.0,2.0,0,1,119,228471833.849,-9748586.18697,valid
11,620,170,11,11,56.3636363636,15.4545454545,56.3636363636,15.4545454545,7,6,129,1105772505.39,-835349369.434,bugged
1,183,2,1,1,183.0,2.0,183.0,2.0,0,1,3,444761804.753,-9778442.54795,valid
13,1233,501,13,13,94.8461538462,38.5384615385,94.8461538462,38.5384615385,4,9,186,1798505096.12,-2461500249.85,valid
14,415,164,14,14,29.6428571429,11.7142857143,29.6428571429,11.7142857143,4,9,246,616737764.143,-805862592.435,bugged
6,523,55,6,6,87.1666666667,9.16666666667,87.1666666667,9.16666666667,1,4,144,1149817730.3,-269973905.847,bugged
3,271,18,3,3,90.3333333333,6.0,90.3333333333,6.0,1,2,53,621715517.608,-88428352.6969,valid
4,131,12,4,4,32.75,3.0,32.75,3.0,3,2,105,292430875.36,-58963093.0426,bugged
1,1182,2,1,1,1182.0,2.0,1182.0,2.0,0,1,42,2899645270.0,-9592941.79792,valid
11,1141,293,11,11,103.727272727,26.6363636364,103.727272727,26.6363636364,9,4,158,2083847517.39,-1439936718.21,bugged
9,706,90,9,9,78.4444444444,10.0,78.4444444444,10.0,1,6,144,1513470893.93,-441919407.636,bugged
3,841,26,3,3,280.333333333,8.66666666667,280.333333333,8.66666666667,2,2,61,2002715516.09,-127612088.591,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
13,833,487,13,13,64.0769230769,37.4615384615,64.0769230769,37.4615384615,5,9,124,849701153.706,-2392235751.63,valid
