% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,219.509525463,0,0,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,219.509525463,0,0,valid
2,1064,1044,2,2,532.0,522.0,532.0,522.0,0,1,219.509525463,0,0,valid
2,28,21,2,2,14.0,10.5,14.0,10.5,0,1,219.509525463,0,0,valid
14,613,376,14,14,43.7857142857,26.8571428571,43.7857142857,26.8571428571,0,6,241.955671296,0,0,valid
26,15010,7281,26,26,577.307692308,280.038461538,577.307692308,280.038461538,1,6,241.955671296,1432.91571759,1432.91571759,valid
5,199,64,5,5,39.8,12.8,39.8,12.8,0,2,467.51125,0,0,valid
3,46,51,3,3,15.3333333333,17.0,15.3333333333,17.0,0,1,219.509525463,0,0,valid
1,25,18,1,1,25.0,18.0,25.0,18.0,0,1,219.509525463,0,0,valid
7,1754,889,7,7,250.571428571,127.0,250.571428571,127.0,1,1,219.509525463,335.733090278,335.733090278,valid
3,574,35,3,3,191.333333333,11.6666666667,191.333333333,11.6666666667,0,2,206.722291667,0,0,valid
12,2651,1274,12,12,220.916666667,106.166666667,220.916666667,106.166666667,0,6,241.955671296,0,0,valid
11,1937,978,11,11,176.090909091,88.9090909091,176.090909091,88.9090909091,0,6,241.955671296,0,0,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,336.754143518,0,0,valid
5,2358,40,5,5,471.6,8.0,471.6,8.0,0,3,241.955671296,0,0,valid
