% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
37,2506,884,37,37,67.7297297297,23.8918918919,67.7297297297,23.8918918919,10,5,890.161608796,894.071446759,87.0845717592,valid
1,291,2,1,1,291.0,2.0,291.0,2.0,0,1,1444.5590625,0,0,valid
11,331,112,11,11,30.0909090909,10.1818181818,30.0909090909,10.1818181818,1,4,1234.17003472,2414.17972222,2414.17972222,valid
16,1929,362,16,16,120.5625,22.625,120.5625,22.625,2,4,954.943611111,1481.10017361,813.97980324,valid
8,407,96,8,8,50.875,12.0,50.875,12.0,0,3,933.348344907,0,0,valid
19,802,159,19,19,42.2105263158,8.36842105263,42.2105263158,8.36842105263,0,6,938.227071759,0,0,valid
2,3588,46,2,2,1794.0,23.0,1794.0,23.0,1,2,3277.45657407,3305.25856481,3305.25856481,valid
5,648,20,5,5,129.6,4.0,129.6,4.0,0,3,1234.17003472,0,0,valid
4,857,66,4,4,214.25,16.5,214.25,16.5,1,4,2599.07568287,3305.25856481,3305.25856481,valid
6,532,159,6,6,88.6666666667,26.5,88.6666666667,26.5,0,3,890.161608796,0,0,valid
23,1313,160,23,23,57.0869565217,6.95652173913,57.0869565217,6.95652173913,0,4,933.348344907,0,0,valid
20,1922,398,20,20,96.1,19.9,96.1,19.9,0,4,1234.7718287,0,0,valid
3,439,32,3,3,146.333333333,10.6666666667,146.333333333,10.6666666667,0,3,2373.19247685,0,0,valid
5,1161,28,5,5,232.2,5.6,232.2,5.6,0,3,1234.7718287,0,0,valid
33,9405,4287,33,33,285.0,129.909090909,285.0,129.909090909,4,6,1158.37571759,1609.28478009,179.076041666,valid
1,163,2,1,1,163.0,2.0,163.0,2.0,0,1,1464.26418981,0,0,valid
1,119,2,1,1,119.0,2.0,119.0,2.0,0,1,1464.26418981,0,0,valid
5,413,24,5,5,82.6,4.8,82.6,4.8,0,3,890.161608796,0,0,valid
32,3591,331,32,32,112.21875,10.34375,112.21875,10.34375,0,4,949.681122685,0,0,valid
35,3469,828,35,35,99.1142857143,23.6571428571,99.1142857143,23.6571428571,0,8,938.223680555,0,0,valid
4,275,52,4,4,68.75,13.0,68.75,13.0,1,3,2617.9997338,3305.25856481,3305.25856481,valid
13,1439,303,13,13,110.692307692,23.3076923077,110.692307692,23.3076923077,1,4,1234.76855324,0,738.001956018,valid
7,960,56,7,7,137.142857143,8.0,137.142857143,8.0,0,2,1464.08106481,0,0,valid
4,500,10,4,4,125.0,2.5,125.0,2.5,0,3,1392.15452546,0,0,valid
6,6900,2234,6,6,1150.0,372.333333333,1150.0,372.333333333,1,2,2384.03019676,2409.28606481,2409.28606481,valid
2,219,6,2,2,109.5,3.0,109.5,3.0,0,2,1234.7718287,0,0,valid
21,1905,272,21,21,90.7142857143,12.9523809524,90.7142857143,12.9523809524,4,8,891.062662037,1985.08414352,237.171365741,valid
8,1454,760,8,8,181.75,95.0,181.75,95.0,1,3,938.046493055,1234.7718287,1234.7718287,valid
5,1059,46,5,5,211.8,9.2,211.8,9.2,0,3,1392.15452546,0,0,valid
93,9604,4246,93,93,103.268817204,45.6559139785,103.268817204,45.6559139785,14,7,908.9478125,908.9478125,182.787835648,valid
3,842,90,3,3,280.666666667,30.0,280.666666667,30.0,0,3,2617.35545139,0,0,valid
11,944,215,11,11,85.8181818182,19.5454545455,85.8181818182,19.5454545455,0,4,952.745972222,0,0,valid
11,2753,156,11,11,250.272727273,14.1818181818,250.272727273,14.1818181818,0,3,933.348344907,0,0,valid
6,561,254,6,6,93.5,42.3333333333,93.5,42.3333333333,0,3,937.090671296,0,0,valid
8,801,184,8,8,100.125,23.0,100.125,23.0,1,3,1234.16902778,0,738.031030092,valid
5,595,156,5,5,119.0,31.2,119.0,31.2,1,4,2599.79979167,3303.51532407,3303.51532407,valid
28,1759,359,28,28,62.8214285714,12.8214285714,62.8214285714,12.8214285714,0,3,918.155636574,0,0,valid
