% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,626,9809471.27407,-19611242.7269,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,11,7361920.51236,1011.82631944,0,0,0,0,0,0,0,0,0,valid
3,103,40,3,2,34.3333333333,13.3333333333,34.3333333333,20.0,0,2,626,154503189.304,-196073674.235,0,0,0,0,0,0,0,0,0,valid
2,12,6,2,1,6.0,3.0,6.0,6.0,0,1,626,14714206.9111,-29416864.0904,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
2,18,8,2,1,9.0,4.0,9.0,8.0,0,1,1174,24523685.8486,-39218607.1952,0,0,0,0,0,0,0,0,0,valid
3,4,9,2,3,1.33333333333,3.0,2.0,3.0,1,1,41,-12269880.7376,-44173227.4501,1,3,5,1,1,3.0,5.0,3.0,5.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,80,7360118.16215,2814.17652778,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45556,-14708432.0452,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45556,-14708432.0452,0,0,0,0,0,0,0,0,0,valid
5,94,12,4,3,18.8,2.4,23.5,4.0,0,4,65,201121989.259,-58742163.0621,0,0,0,0,0,0,0,0,0,valid
5,160,92,5,4,32.0,18.4,32.0,23.0,0,3,135,166785980.752,-451270197.72,0,0,0,0,0,0,0,0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,83,14719656.589,6208.08840278,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,3,3,2,2,1.5,1.5,1.5,1.5,1,1,19,0.0,-14723985.1063,1,2,2,1,1,2.0,2.0,2.0,2.0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,626,7357121.46418,-4898942.76828,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,3,2,1,1,1.5,1.0,3.0,2.0,0,1,157,2452194.40447,-9807857.54736,0,0,0,0,0,0,0,0,0,valid
2,45,20,2,1,22.5,10.0,22.5,20.0,0,1,626,61309222.4629,-98046525.8295,0,0,0,0,0,0,0,0,0,valid
4,8,5,4,3,2.0,1.25,2.0,1.66666666667,0,2,627,7357103.45198,-24524326.1884,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,30,17171781.9214,8393.53553241,0,0,0,0,0,0,0,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,5,26986037.0887,11381.4864931,0,0,0,0,0,0,0,0,0,valid
2,2,2,2,2,1.0,1.0,1.0,1.0,1,1,17,0.0,-9816190.09662,1,1,1,1,1,1.0,1.0,1.0,1.0,valid
1,3,6,1,1,3.0,6.0,3.0,6.0,0,1,26,-7361943.59347,-29448763.1191,0,0,0,0,0,0,0,0,0,valid
2,76,38,2,1,38.0,19.0,38.0,38.0,0,2,126,93204278.1636,-186373409.991,0,0,0,0,0,0,0,0,0,valid
3,55,24,3,2,18.3333333333,8.0,18.3333333333,12.0,0,2,626,76024842.0686,-117658966.384,0,0,0,0,0,0,0,0,0,valid
5,39,23,5,4,7.8,4.6,7.8,5.75,0,3,626,39236899.8978,-112788495.507,0,0,0,0,0,0,0,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,1,33,-61.6196875013,-14718608.5986,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,33,7359273.48948,-14715011.3691,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,80,7360118.16215,2814.17652778,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45556,-14708432.0452,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45556,-14708432.0452,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,120,7358232.4866,4699.85208333,0,0,0,0,0,0,0,0,0,valid
3,51,27,3,2,17.0,9.0,17.0,13.5,0,2,626,58856827.6631,-132388170.807,0,0,0,0,0,0,0,0,0,valid
2,20,10,2,1,10.0,5.0,10.0,10.0,0,2,126,24527441.622,-49045634.2081,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45674,-14708432.0464,0,0,0,0,0,0,0,0,0,valid
3,41,20,3,2,13.6666666667,6.66666666667,13.6666666667,10.0,0,2,626,51499751.1975,-98061558.0023,0,0,0,0,0,0,0,0,0,valid
1,58,0,1,0,58.0,0.0,58.0,0,0,1,33,142289783.733,60241.4811574,0,0,0,0,0,0,0,0,0,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,0,1,1174,9809470.67875,-19611242.1316,0,0,0,0,0,0,0,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,26,26993793.1761,3625.39909722,0,0,0,0,0,0,0,0,0,valid
2,4,2,1,1,2.0,1.0,4.0,2.0,0,1,157,4904588.19303,-9805940.55637,0,0,0,0,0,0,0,0,0,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,80,14720236.3243,5628.35305555,0,0,0,0,0,0,0,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,83,26986037.0798,11381.4954051,0,0,0,0,0,0,0,0,0,valid
