granularity,buggedType,version_name,valid,bug
Method,Most,CODEC_1_1,403,0
Method,Most,CODEC_1_1_RC1,403,0
Method,Most,CODEC_1_2,403,0
Method,Most,CODEC_1_2_RC1,403,0
Method,Most,CODEC_1_3,403,0
Method,Most,CODEC_1_3_RC1,512,12
Method,Most,CODEC_1_4_RC1,526,0
Method,Most,CODEC_1_4_RC2,605,1
Method,Most,CODEC_1_4_RC3,628,0
Method,Most,CODEC_1_4_RC4,852,18
Method,Most,commons-codec-1.5-RC1,870,0
Method,Most,commons-codec-1.5,1057,4
Method,Most,commons-codec-1.6-RC1,1061,0
Method,Most,commons-codec-1.6-RC2,1061,0
Method,Most,CODEC_1_4,1062,0
Method,Most,1_6,1438,27
Method,Most,1.7-RC1,1467,0
Method,Most,1.7-RC2,1467,0
Method,Most,1.7,1916,1
Method,Most,1.8-RC1,1917,0
Method,Most,1.8-RC2,1917,0
Method,Most,1.8-RC3,1917,0
Method,Most,1.8-RC4,1917,0
Method,Most,1.8,1924,1
Method,Most,1.9-RC1,1925,0
Method,Most,1.9,2009,1
Method,Most,1.10-RC1,2010,0
Method,Most,1.10-RC2,2010,0
Method,Most,1.10,2198,40
Method,Most,commons-codec-1.11-RC1,2238,0
Method,All,CODEC_1_1,403,0
Method,All,CODEC_1_1_RC1,403,0
Method,All,CODEC_1_2,403,0
Method,All,CODEC_1_2_RC1,403,0
Method,All,CODEC_1_3,403,0
Method,All,CODEC_1_3_RC1,476,48
Method,All,CODEC_1_4_RC1,526,0
Method,All,CODEC_1_4_RC2,606,0
Method,All,CODEC_1_4_RC3,628,0
Method,All,CODEC_1_4_RC4,822,48
Method,All,commons-codec-1.5-RC1,870,0
Method,All,commons-codec-1.5,1053,8
Method,All,commons-codec-1.6-RC1,1061,0
Method,All,commons-codec-1.6-RC2,1061,0
Method,All,CODEC_1_4,1062,0
Method,All,1_6,1447,18
Method,All,1.7-RC1,1467,0
Method,All,1.7-RC2,1467,0
Method,All,1.7,1911,6
Method,All,1.8-RC1,1917,0
Method,All,1.8-RC2,1917,0
Method,All,1.8-RC3,1917,0
Method,All,1.8-RC4,1917,0
Method,All,1.8,1907,18
Method,All,1.9-RC1,1925,0
Method,All,1.9,2010,0
Method,All,1.10-RC1,2010,0
Method,All,1.10-RC2,2010,0
Method,All,1.10,2168,70
Method,All,commons-codec-1.11-RC1,2238,0
File,Most,CODEC_1_1,44,0
File,Most,CODEC_1_1_RC1,44,0
File,Most,CODEC_1_2,44,0
File,Most,CODEC_1_2_RC1,44,0
File,Most,CODEC_1_3,44,0
File,Most,CODEC_1_3_RC1,47,7
File,Most,CODEC_1_4_RC1,54,0
File,Most,CODEC_1_4_RC2,63,0
File,Most,CODEC_1_4_RC3,63,0
File,Most,CODEC_1_4_RC4,79,6
File,Most,commons-codec-1.5-RC1,85,0
File,Most,commons-codec-1.5,196,4
File,Most,commons-codec-1.6-RC1,200,0
File,Most,commons-codec-1.6-RC2,200,0
File,Most,CODEC_1_4,201,0
File,Most,1_6,283,4
File,Most,1.7-RC1,288,0
File,Most,1.7-RC2,288,0
File,Most,1.7,289,1
File,Most,1.8-RC1,290,0
File,Most,1.8-RC2,290,0
File,Most,1.8-RC3,290,0
File,Most,1.8-RC4,290,0
File,Most,1.8,290,2
File,Most,1.9-RC1,292,0
File,Most,1.9,296,2
File,Most,1.10-RC1,298,0
File,Most,1.10-RC2,298,0
File,Most,1.10,295,13
File,Most,commons-codec-1.11-RC1,308,0
File,All,CODEC_1_1,44,0
File,All,CODEC_1_1_RC1,44,0
File,All,CODEC_1_2,44,0
File,All,CODEC_1_2_RC1,44,0
File,All,CODEC_1_3,44,0
File,All,CODEC_1_3_RC1,40,14
File,All,CODEC_1_4_RC1,54,0
File,All,CODEC_1_4_RC2,63,0
File,All,CODEC_1_4_RC3,63,0
File,All,CODEC_1_4_RC4,78,7
File,All,commons-codec-1.5-RC1,85,0
File,All,commons-codec-1.5,154,46
File,All,commons-codec-1.6-RC1,200,0
File,All,commons-codec-1.6-RC2,200,0
File,All,CODEC_1_4,201,0
File,All,1_6,279,8
File,All,1.7-RC1,288,0
File,All,1.7-RC2,288,0
File,All,1.7,289,1
File,All,1.8-RC1,290,0
File,All,1.8-RC2,290,0
File,All,1.8-RC3,290,0
File,All,1.8-RC4,290,0
File,All,1.8,288,4
File,All,1.9-RC1,292,0
File,All,1.9,288,10
File,All,1.10-RC1,298,0
File,All,1.10-RC2,298,0
File,All,1.10,293,15
File,All,commons-codec-1.11-RC1,308,0
