granularity,buggedType,version_name,valid,bug
Method,Most,db_030916,4119,0
Method,Most,db_030922,4118,1
Method,Most,db_030924,8490,1
Method,Most,xmlbeans-1-0-0,8713,1
Method,Most,ca_031016,9051,1
Method,Most,cca_031029,9371,5
Method,Most,db_031112,11240,2
Method,Most,xmlbeans-1-0-1_base,11424,1
Method,Most,merge_to_v1trunk_040123,11425,1
Method,Most,merge_from_1-0-1_040123,16485,25
Method,Most,xmlbeans-jdk13_base,12506,9
Method,Most,1.0.1,12515,0
Method,Most,1.0.0,12515,0
Method,Most,1.0.0-pre1,12515,0
Method,Most,1.0.2,12515,0
Method,Most,1.0.3-rc1,12515,0
Method,Most,1.0.3-rc2,12515,0
Method,Most,v1_0_0,12515,0
Method,Most,v1_0_0pre1,12515,0
Method,Most,xmlbeans-1-0-2_release,12515,0
Method,Most,xmlbeans-1-0-3_release_candidate1,12515,0
Method,Most,xmlbeans-1-0-3_release_candidate2,12000,9
Method,Most,2.0.0-beta1,12009,0
Method,Most,1.0.4,12009,0
Method,Most,1.0.4-jdk1.3,12539,7
Method,Most,2.0.0,12777,2
Method,Most,2.1.0,12847,11
Method,Most,2.2.0,12858,0
Method,Most,2.3.0,12958,15
Method,Most,2.4.0,13111,2
Method,Most,2.6.0,13078,0
Method,All,db_030916,4119,0
Method,All,db_030922,4118,1
Method,All,db_030924,8490,1
Method,All,xmlbeans-1-0-0,8662,52
Method,All,ca_031016,9051,1
Method,All,cca_031029,9320,56
Method,All,db_031112,11097,145
Method,All,xmlbeans-1-0-1_base,11422,3
Method,All,merge_to_v1trunk_040123,11420,6
Method,All,merge_from_1-0-1_040123,16345,165
Method,All,xmlbeans-jdk13_base,12504,11
Method,All,1.0.1,12515,0
Method,All,1.0.0,12515,0
Method,All,1.0.0-pre1,12515,0
Method,All,1.0.2,12515,0
Method,All,1.0.3-rc1,12515,0
Method,All,1.0.3-rc2,12515,0
Method,All,v1_0_0,12515,0
Method,All,v1_0_0pre1,12515,0
Method,All,xmlbeans-1-0-2_release,12515,0
Method,All,xmlbeans-1-0-3_release_candidate1,12515,0
Method,All,xmlbeans-1-0-3_release_candidate2,11945,64
Method,All,2.0.0-beta1,12009,0
Method,All,1.0.4,12009,0
Method,All,1.0.4-jdk1.3,12482,64
Method,All,2.0.0,12764,15
Method,All,2.1.0,12805,53
Method,All,2.2.0,12858,0
Method,All,2.3.0,12870,103
Method,All,2.4.0,13110,3
Method,All,2.6.0,13078,0
File,Most,db_030916,395,0
File,Most,db_030922,394,1
File,Most,db_030924,823,1
File,Most,xmlbeans-1-0-0,850,1
File,Most,ca_031016,894,1
File,Most,cca_031029,922,3
File,Most,db_031112,1068,2
File,Most,xmlbeans-1-0-1_base,1079,1
File,Most,merge_to_v1trunk_040123,1079,1
File,Most,merge_from_1-0-1_040123,1780,7
File,Most,xmlbeans-jdk13_base,1438,3
File,Most,1.0.1,1441,0
File,Most,1.0.0,1441,0
File,Most,1.0.0-pre1,1441,0
File,Most,1.0.2,1441,0
File,Most,1.0.3-rc1,1441,0
File,Most,1.0.3-rc2,1441,0
File,Most,v1_0_0,1441,0
File,Most,v1_0_0pre1,1441,0
File,Most,xmlbeans-1-0-2_release,1441,0
File,Most,xmlbeans-1-0-3_release_candidate1,1441,0
File,Most,xmlbeans-1-0-3_release_candidate2,1377,8
File,Most,2.0.0-beta1,1385,0
File,Most,1.0.4,1385,0
File,Most,1.0.4-jdk1.3,1475,7
File,Most,2.0.0,1535,3
File,Most,2.1.0,1544,11
File,Most,2.2.0,1555,0
File,Most,2.3.0,1548,9
File,Most,2.4.0,1571,2
File,Most,2.6.0,1575,1
File,All,db_030916,395,0
File,All,db_030922,394,1
File,All,db_030924,823,1
File,All,xmlbeans-1-0-0,796,55
File,All,ca_031016,894,1
File,All,cca_031029,921,4
File,All,db_031112,1040,30
File,All,xmlbeans-1-0-1_base,1079,1
File,All,merge_to_v1trunk_040123,1075,5
File,All,merge_from_1-0-1_040123,1749,38
File,All,xmlbeans-jdk13_base,1438,3
File,All,1.0.1,1441,0
File,All,1.0.0,1441,0
File,All,1.0.0-pre1,1441,0
File,All,1.0.2,1441,0
File,All,1.0.3-rc1,1441,0
File,All,1.0.3-rc2,1441,0
File,All,v1_0_0,1441,0
File,All,v1_0_0pre1,1441,0
File,All,xmlbeans-1-0-2_release,1441,0
File,All,xmlbeans-1-0-3_release_candidate1,1441,0
File,All,xmlbeans-1-0-3_release_candidate2,1366,19
File,All,2.0.0-beta1,1385,0
File,All,1.0.4,1385,0
File,All,1.0.4-jdk1.3,1461,21
File,All,2.0.0,1524,14
File,All,2.1.0,1524,31
File,All,2.2.0,1555,0
File,All,2.3.0,1541,16
File,All,2.4.0,1571,2
File,All,2.6.0,1573,3
