granularity,buggedType,version_name,valid,bug
Method,Most,NET_1_0_0,1389,0
Method,Most,NET_1_1_0,1389,0
Method,Most,NET_1_1_0_rc1,1389,0
Method,Most,NET_1_1_1,1389,0
Method,Most,NET_1_2_0,1389,0
Method,Most,NET_1_2_0_RC1,1389,0
Method,Most,NET_1_2_0_TEMP,1389,0
Method,Most,NET_1_2_1,1389,0
Method,Most,NET_1_2_2,1389,0
Method,Most,NET_1_3_0,1389,0
Method,Most,NET_1_4_0,1389,0
Method,Most,v1-3-8,1518,9
Method,Most,NET_1_5_0,1496,2
Method,Most,NET_2_0_RC2,1500,3
Method,Most,NET_2_0_RC3,1565,12
Method,Most,NET_2_0_RC_3,1693,22
Method,Most,NET_2_0,1715,0
Method,Most,NET_2_0_RC_4,1715,0
Method,Most,NET_2_0_RC_5,1715,0
Method,Most,NET_1_5_0_RC1,1716,0
Method,Most,NET_1_5_0_RC2,1727,21
Method,Most,NET_1_5_0_RC3,1748,0
Method,Most,NET_2_1_RC1,1748,0
Method,Most,NET_1_5_0_RC4,1748,2
Method,Most,NET_2_1_RC_2,1750,0
Method,Most,NET_2_1_RC_3,1863,6
Method,Most,NET_2_1_RC_4,1870,0
Method,Most,commons-net-2.1-rc4,1870,0
Method,Most,commons-net-2.1,1870,0
Method,Most,NET_2_1_RC_5,1870,0
Method,Most,NET_2_1_RC_6,1894,13
Method,Most,NET_2_1_r924745,1910,7
Method,Most,commons-net-2.2RC1,1917,0
Method,Most,NET_2_2_RC1,1917,0
Method,Most,NET_2_2_RC2,1917,0
Method,Most,NET_2_2_RC3,1940,7
Method,Most,NET_2_2,2208,62
Method,Most,commons-net-3.0-RC1,2271,0
Method,Most,NET_3_0_RC2,2268,3
Method,Most,NET_3_0_RC3,2271,0
Method,Most,NET_3_0_RC4,2270,1
Method,Most,NET_3_0_RC5,2271,0
Method,Most,NET_3_0_RC1,2271,0
Method,Most,NET_3_0,2270,1
Method,Most,NET_3_0_1RC1,2271,0
Method,Most,NET_3_0_1RC2,2271,0
Method,Most,NET_3_0_1RC3,2271,0
Method,Most,NET_3_0_1,2322,20
Method,Most,NET_3_1_RC2,2342,0
Method,Most,NET_3_1,2380,21
Method,Most,NET_3_1_RC1,2401,0
Method,Most,NET_3_2_RC1,2407,0
Method,Most,NET_3_2,2445,15
Method,Most,NET_3_3_RC1,2462,0
Method,Most,NET_3_3,2615,58
Method,Most,NET_3_4_RC1,2673,0
Method,Most,NET_3_4_RC2,2673,0
Method,Most,NET_3_4,2674,2
Method,Most,NET_3_5_RC1,2676,0
Method,Most,NET_3_5_RC2,2676,0
Method,Most,NET_3_5_RC3,2676,0
Method,Most,NET_3_5,2713,16
Method,Most,NET_3_6_RC1,2729,0
Method,All,NET_1_0_0,1389,0
Method,All,NET_1_1_0,1389,0
Method,All,NET_1_1_0_rc1,1389,0
Method,All,NET_1_1_1,1389,0
Method,All,NET_1_2_0,1389,0
Method,All,NET_1_2_0_RC1,1389,0
Method,All,NET_1_2_0_TEMP,1389,0
Method,All,NET_1_2_1,1389,0
Method,All,NET_1_2_2,1389,0
Method,All,NET_1_3_0,1389,0
Method,All,NET_1_4_0,1389,0
Method,All,v1-3-8,1505,22
Method,All,NET_1_5_0,1496,2
Method,All,NET_2_0_RC2,1498,5
Method,All,NET_2_0_RC3,1563,14
Method,All,NET_2_0_RC_3,1680,35
Method,All,NET_2_0,1715,0
Method,All,NET_2_0_RC_4,1715,0
Method,All,NET_2_0_RC_5,1715,0
Method,All,NET_1_5_0_RC1,1716,0
Method,All,NET_1_5_0_RC2,1703,45
Method,All,NET_1_5_0_RC3,1748,0
Method,All,NET_2_1_RC1,1748,0
Method,All,NET_1_5_0_RC4,1749,1
Method,All,NET_2_1_RC_2,1750,0
Method,All,NET_2_1_RC_3,1788,81
Method,All,NET_2_1_RC_4,1870,0
Method,All,commons-net-2.1-rc4,1870,0
Method,All,commons-net-2.1,1870,0
Method,All,NET_2_1_RC_5,1870,0
Method,All,NET_2_1_RC_6,1888,19
Method,All,NET_2_1_r924745,1901,16
Method,All,commons-net-2.2RC1,1917,0
Method,All,NET_2_2_RC1,1917,0
Method,All,NET_2_2_RC2,1917,0
Method,All,NET_2_2_RC3,1923,24
Method,All,NET_2_2,1981,289
Method,All,commons-net-3.0-RC1,2271,0
Method,All,NET_3_0_RC2,2263,8
Method,All,NET_3_0_RC3,2271,0
Method,All,NET_3_0_RC4,2271,0
Method,All,NET_3_0_RC5,2271,0
Method,All,NET_3_0_RC1,2271,0
Method,All,NET_3_0,2270,1
Method,All,NET_3_0_1RC1,2271,0
