granularity,buggedType,version_name,valid,bug
Method,Most,release-0.1-incubating,16549,0
Method,Most,release-0.1-incubating-RC4,16549,0
Method,Most,release-0.1-incubating-RC5,16549,0
Method,Most,release-0.1-incubating-RC6,16549,0
Method,Most,release-0.1-incubating-RC7,16549,0
Method,Most,release-0.2-incubating,16549,0
Method,Most,release-0.2-incubating-RC0,16549,0
Method,Most,release-0.2-incubating-RC1,16549,0
Method,Most,release-0.3-incubating,16549,0
Method,Most,release-0.3-incubating-RC0,16549,0
Method,Most,release-0.4-incubating,16549,0
Method,Most,release-0.4-incubating-RC0,16549,0
Method,Most,release-0.4-incubating-RC1,16549,0
Method,Most,release-0.5-incubating,16549,0
Method,Most,release-0.5-incubating-RC0,16549,0
Method,Most,release-0.5-incubating-RC1,16549,0
Method,Most,release-0.5-incubating-RC2,16549,0
Method,Most,release-0.5-incubating-RC3,16549,0
Method,Most,release-0.5-incubating-RC4,16549,0
Method,Most,release-0.5-incubating-RC5,16549,0
Method,Most,release-0.5.1,16549,0
Method,Most,release-0.5.1-RC0,16645,0
Method,Most,release-0.6-RC0,16645,0
Method,Most,release-0.6,16894,6
Method,Most,release-1.0-RC0,16900,0
Method,Most,release-1.0-RC1,16901,0
Method,Most,release-1.0-RC2,16901,0
Method,Most,release-1.0-RC3,16906,0
Method,Most,release-1.0-RC4,16906,0
Method,Most,release-1.0-RC5,16906,0
Method,Most,release-1.0-RC6,16906,0
Method,Most,release-1.0-RC7,16906,0
Method,Most,release-1.0,16906,0
Method,Most,release-1.0.1-RC0,16906,0
Method,Most,release-1.0.1-RC1,17487,5
Method,Most,release-1.1-RC0,17497,0
Method,Most,release-1.1-RC1,17501,0
Method,Most,release-1.1-RC2,17501,0
Method,Most,release-1.1-RC3,17502,0
Method,Most,release-1.1-RC4,17531,0
Method,Most,release-1.1-RC5,17531,0
Method,Most,release-1.1-RC6,17569,1
Method,Most,release-1.1-RC7,17570,0
Method,Most,release-1.1-RC8,17577,0
Method,Most,release-1.1-RC9,17578,3
Method,Most,release-1.1,17775,0
Method,Most,release-1.1.1-RC0,17787,0
Method,Most,release-1.1.1,18087,7
Method,Most,release-1.2-RC0,18089,0
Method,Most,release-1.2-RC1,18089,0
Method,Most,release-1.2,18917,6
Method,Most,release-1.3-RC0,18923,0
Method,Most,release-1.3-RC1,18923,0
Method,Most,release-1.3-RC2,18923,0
Method,Most,release-1.3-RC3,18923,0
Method,Most,release-1.3-RC4,18923,0
Method,Most,release-1.3,19143,5
Method,Most,release-1.4-RC0,19148,0
Method,Most,release-1.4-RC1,19321,0
Method,Most,release-1.4,19624,1
Method,Most,release-1.4.1-RC0,19633,0
Method,Most,release-1.4.1-RC1,19638,1
Method,Most,release-1.4.1,20464,7
Method,Most,release-1.5-RC0,20471,0
Method,Most,release-1.5-RC1,20471,0
Method,Most,release-1.5-RC2,20499,0
Method,Most,release-1.5-RC3,20499,0
Method,Most,release-1.5-RC4,20497,2
Method,Most,release-1.5-RC5,20502,0
Method,Most,release-1.5-RC6,20500,6
Method,Most,release-1.5-RC7,20516,2
Method,Most,release-1.5,20520,2
Method,Most,release-1.5.1-RC0,20529,1
Method,Most,release-1.5.1,20654,15
Method,Most,release-1.6-RC0,20669,0
Method,Most,release-1.6-RC1,20693,2
Method,Most,release-1.6,20756,2
Method,Most,release-1.6.1-RC0,20758,0
Method,Most,release-1.6.1-RC1,20899,0
Method,Most,release-1.6.1,21400,9
Method,Most,release-1.7-RC0,21411,0
Method,Most,release-1.7-RC1,21411,1
Method,Most,release-1.7-RC2,21412,0
Method,Most,release-1.7,21517,1
Method,Most,release-1.7.1-RC0,21529,0
Method,Most,release-1.7.1-RC1,21530,1
Method,Most,release-1.7.1-RC2,21535,0
Method,Most,release-1.7.1,21631,14
Method,Most,release-1.7.2-RC0,21645,0
Method,Most,release-1.7.2-RC1,21652,0
Method,Most,release-1.7.2,21765,4
Method,Most,release-2.0-RC0,21770,0
Method,Most,release-2.0-RC1,21855,0
Method,Most,release-2.0-RC2,21855,0
Method,Most,release-1.8-RC0,21855,0
Method,Most,release-2.0-RC3,21855,0
Method,Most,release-1.8-RC1,21857,0
Method,Most,release-2.0-RC4,21876,0
Method,Most,release-1.8-RC2,21956,1
Method,Most,release-2.0-RC5,21957,0
Method,Most,release-1.8-RC3,21958,0
Method,Most,release-2.0,21958,0
Method,Most,release-1.8,22023,0
Method,Most,release-2.0.1-RC0,22023,0
Method,Most,release-1.8.1-RC0,22022,3
Method,Most,release-2.0.1-RC1,22025,0
Method,Most,release-1.8.1-RC1,22027,1
Method,Most,release-1.8.2-RC0,22028,0
Method,Most,release-2.0.2-RC0,22027,1
Method,Most,release-1.8.2,22028,0
Method,Most,release-2.0.2,22138,7
Method,Most,release-2.1-RC0,22145,0
Method,Most,release-1.9-RC0,22149,0
Method,Most,release-2.1-RC1,22149,0
Method,Most,release-1.9-RC1,22149,0
Method,Most,release-2.1-RC2,22148,1
Method,Most,release-2.1-RC3,22149,0
Method,Most,release-1.9-RC2,22155,0
Method,Most,release-2.1,22155,0
Method,Most,release-1.9,22533,6
Method,Most,release-2.2-RC0,22631,0
Method,Most,release-1-10-RC0,22631,0
Method,Most,release-1.10-RC0,22637,1
Method,Most,release-1.10,22725,3
Method,Most,release-2.2,22737,1
Method,Most,release-2.3-RC0,22738,0
Method,Most,release-2.3-RC1,22738,0
Method,Most,release-2.3,22797,2
Method,Most,release-2.4-RC0,22831,1
Method,Most,release-2.5-RC0,22832,0
Method,Most,release-2.5,23054,3
Method,Most,release-2.6-RC0,23055,2
Method,Most,release-2.6-RC1,23057,0
Method,Most,release-2.6,22969,13
Method,Most,release-2.7-RC1,22983,0
Method,Most,release-2.7-RC0,22983,0
Method,Most,release-2.7,23003,1
Method,Most,release-2.7.1-RC0,23057,0
Method,Most,release-2.7.1,23138,2
Method,Most,release-2.8-RC0,23140,0
Method,Most,release-2.8,23140,0
Method,Most,release-2.8.1-RC0,23140,0
Method,Most,release-2.8.1-RC1,23140,0
Method,Most,release-2.8.1-RC2,23140,0
Method,Most,release-2.8.1,23216,1
Method,Most,release-2.9-RC0,23216,1
Method,Most,release-2.9-RC1,23217,0
Method,Most,release-2.9-RC2,23217,0
Method,Most,release-2.9,23218,0
Method,Most,release-2.9.1-RC0,23218,0
Method,Most,release-2.9.1,23367,2
Method,Most,release-2.10-RC0,23369,0
Method,Most,release-2.10,23454,10
Method,Most,release-2.11-RC0,23464,0
Method,Most,release-2.11-RC1,23465,1
Method,Most,release-2.11-RC2,23468,0
Method,Most,release-2.11-RC3,23468,0
Method,Most,release-2.11-RC4,23468,0
Method,All,release-0.1-incubating,16549,0
Method,All,release-0.1-incubating-RC4,16549,0
Method,All,release-0.1-incubating-RC5,16549,0
Method,All,release-0.1-incubating-RC6,16549,0
Method,All,release-0.1-incubating-RC7,16549,0
Method,All,release-0.2-incubating,16549,0
Method,All,release-0.2-incubating-RC0,16549,0
Method,All,release-0.2-incubating-RC1,16549,0
Method,All,release-0.3-incubating,16549,0
Method,All,release-0.3-incubating-RC0,16549,0
Method,All,release-0.4-incubating,16549,0
Method,All,release-0.4-incubating-RC0,16549,0
Method,All,release-0.4-incubating-RC1,16549,0
Method,All,release-0.5-incubating,16549,0
Method,All,release-0.5-incubating-RC0,16549,0
Method,All,release-0.5-incubating-RC1,16549,0
Method,All,release-0.5-incubating-RC2,16549,0
Method,All,release-0.5-incubating-RC3,16549,0
Method,All,release-0.5-incubating-RC4,16549,0
Method,All,release-0.5-incubating-RC5,16549,0
Method,All,release-0.5.1,16549,0
Method,All,release-0.5.1-RC0,16645,0
Method,All,release-0.6-RC0,16645,0
Method,All,release-0.6,16883,17
Method,All,release-1.0-RC0,16900,0
Method,All,release-1.0-RC1,16901,0
Method,All,release-1.0-RC2,16901,0
Method,All,release-1.0-RC3,16906,0
Method,All,release-1.0-RC4,16906,0
Method,All,release-1.0-RC5,16906,0
Method,All,release-1.0-RC6,16906,0
Method,All,release-1.0-RC7,16906,0
Method,All,release-1.0,16906,0
Method,All,release-1.0.1-RC0,16906,0
Method,All,release-1.0.1-RC1,17449,43
Method,All,release-1.1-RC0,17497,0
Method,All,release-1.1-RC1,17501,0
Method,All,release-1.1-RC2,17501,0
Method,All,release-1.1-RC3,17502,0
Method,All,release-1.1-RC4,17531,0
Method,All,release-1.1-RC5,17531,0
Method,All,release-1.1-RC6,17569,1
Method,All,release-1.1-RC7,17570,0
Method,All,release-1.1-RC8,17577,0
Method,All,release-1.1-RC9,17576,5
Method,All,release-1.1,17775,0
Method,All,release-1.1.1-RC0,17787,0
Method,All,release-1.1.1,18088,6
Method,All,release-1.2-RC0,18089,0
Method,All,release-1.2-RC1,18089,0
Method,All,release-1.2,18890,33
Method,All,release-1.3-RC0,18923,0
Method,All,release-1.3-RC1,18923,0
Method,All,release-1.3-RC2,18923,0
Method,All,release-1.3-RC3,18923,0
Method,All,release-1.3-RC4,18923,0
Method,All,release-1.3,19134,14
Method,All,release-1.4-RC0,19148,0
Method,All,release-1.4-RC1,19321,0
Method,All,release-1.4,19624,1
Method,All,release-1.4.1-RC0,19633,0
Method,All,release-1.4.1-RC1,19635,4
Method,All,release-1.4.1,20453,18
Method,All,release-1.5-RC0,20471,0
Method,All,release-1.5-RC1,20471,0
Method,All,release-1.5-RC2,20499,0
Method,All,release-1.5-RC3,20499,0
Method,All,release-1.5-RC4,20495,4
Method,All,release-1.5-RC5,20502,0
Method,All,release-1.5-RC6,20487,19
Method,All,release-1.5-RC7,20515,3
Method,All,release-1.5,20501,21
Method,All,release-1.5.1-RC0,20518,12
Method,All,release-1.5.1,20597,72
Method,All,release-1.6-RC0,20669,0
Method,All,release-1.6-RC1,20607,88
Method,All,release-1.6,20754,4
Method,All,release-1.6.1-RC0,20758,0
Method,All,release-1.6.1-RC1,20899,0
Method,All,release-1.6.1,21275,134
Method,All,release-1.7-RC0,21411,0
Method,All,release-1.7-RC1,21410,2
Method,All,release-1.7-RC2,21412,0
Method,All,release-1.7,21447,71
Method,All,release-1.7.1-RC0,21529,0
Method,All,release-1.7.1-RC1,21530,1
Method,All,release-1.7.1-RC2,21535,0
Method,All,release-1.7.1,21515,130
Method,All,release-1.7.2-RC0,21645,0
Method,All,release-1.7.2-RC1,21652,0
Method,All,release-1.7.2,21741,28
Method,All,release-2.0-RC0,21770,0
Method,All,release-2.0-RC1,21855,0
Method,All,release-2.0-RC2,21855,0
Method,All,release-1.8-RC0,21855,0
Method,All,release-2.0-RC3,21855,0
Method,All,release-1.8-RC1,21857,0
Method,All,release-2.0-RC4,21876,0
Method,All,release-1.8-RC2,21951,6
Method,All,release-2.0-RC5,21957,0
Method,All,release-1.8-RC3,21958,0
Method,All,release-2.0,21958,0
Method,All,release-1.8,22023,0
