granularity,buggedType,version_name,valid,bug
Method,Most,commons-text-1.0-beta-1-RC1,1014,0
Method,Most,commons-text-1.0-beta-1-RC2,1049,1
Method,Most,commons-text-1.0-beta-1-RC3,1050,0
Method,Most,commons-text-1.0-beta-1,1050,0
Method,Most,commons-text-1.0-beta-1-RC4,1049,3
Method,Most,commons-text-1.0,1052,0
Method,Most,commons-text-1.0-RC1,1060,2
Method,Most,commons-text-1.1,1062,0
Method,Most,commons-text-1.1-RC1,1171,11
Method,Most,commons-text-1.2,1182,0
Method,Most,commons-text-1.2-RC1,1712,0
Method,Most,commons-text-1.3,1712,0
Method,Most,commons-text-1.3-RC1,1717,3
Method,Most,commons-text-1.4-RC1,1720,0
Method,Most,commons-text-1.4,1783,1
Method,Most,commons-text-1.5-RC1,1784,0
Method,Most,commons-text-1.5-RC2,1784,0
Method,Most,commons-text-1.5,1784,0
Method,Most,commons-text-1.5-RC3,1832,0
Method,Most,commons-text-1.6,1832,0
Method,All,commons-text-1.0-beta-1-RC1,1014,0
Method,All,commons-text-1.0-beta-1-RC2,1013,37
Method,All,commons-text-1.0-beta-1-RC3,1050,0
Method,All,commons-text-1.0-beta-1,1050,0
Method,All,commons-text-1.0-beta-1-RC4,1030,22
Method,All,commons-text-1.0,1052,0
Method,All,commons-text-1.0-RC1,1060,2
Method,All,commons-text-1.1,1062,0
Method,All,commons-text-1.1-RC1,1171,11
Method,All,commons-text-1.2,1182,0
Method,All,commons-text-1.2-RC1,1712,0
Method,All,commons-text-1.3,1712,0
Method,All,commons-text-1.3-RC1,1707,13
Method,All,commons-text-1.4-RC1,1720,0
Method,All,commons-text-1.4,1784,0
Method,All,commons-text-1.5-RC1,1784,0
Method,All,commons-text-1.5-RC2,1784,0
Method,All,commons-text-1.5,1784,0
Method,All,commons-text-1.5-RC3,1832,0
Method,All,commons-text-1.6,1832,0
File,Most,commons-text-1.0-beta-1-RC1,214,0
File,Most,commons-text-1.0-beta-1-RC2,213,1
File,Most,commons-text-1.0-beta-1-RC3,214,0
File,Most,commons-text-1.0-beta-1,214,0
File,Most,commons-text-1.0-beta-1-RC4,210,3
File,Most,commons-text-1.0,213,0
File,Most,commons-text-1.0-RC1,212,2
File,Most,commons-text-1.1,214,0
File,Most,commons-text-1.1-RC1,212,9
File,Most,commons-text-1.2,221,0
File,Most,commons-text-1.2-RC1,260,0
File,Most,commons-text-1.3,260,0
File,Most,commons-text-1.3-RC1,258,2
File,Most,commons-text-1.4-RC1,260,0
File,Most,commons-text-1.4,278,1
File,Most,commons-text-1.5-RC1,279,0
File,Most,commons-text-1.5-RC2,279,0
File,Most,commons-text-1.5,279,0
File,Most,commons-text-1.5-RC3,284,0
File,Most,commons-text-1.6,284,0
File,All,commons-text-1.0-beta-1-RC1,214,0
File,All,commons-text-1.0-beta-1-RC2,192,22
File,All,commons-text-1.0-beta-1-RC3,214,0
File,All,commons-text-1.0-beta-1,214,0
File,All,commons-text-1.0-beta-1-RC4,193,20
File,All,commons-text-1.0,213,0
File,All,commons-text-1.0-RC1,212,2
File,All,commons-text-1.1,214,0
File,All,commons-text-1.1-RC1,213,8
File,All,commons-text-1.2,221,0
File,All,commons-text-1.2-RC1,260,0
File,All,commons-text-1.3,260,0
File,All,commons-text-1.3-RC1,257,3
File,All,commons-text-1.4-RC1,260,0
File,All,commons-text-1.4,278,1
File,All,commons-text-1.5-RC1,279,0
File,All,commons-text-1.5-RC2,279,0
File,All,commons-text-1.5,279,0
File,All,commons-text-1.5-RC3,284,0
File,All,commons-text-1.6,284,0
