granularity,buggedType,version_name,valid,bug
Method,Most,1.0-beta-1,7482,0
Method,Most,archiva-0.9-alpha-1,7482,0
Method,Most,archiva-0.9-alpha-2,7482,0
Method,Most,archiva-1.0,7482,0
Method,Most,archiva-1.0-alpha-1,7482,0
Method,Most,archiva-1.0-alpha-2,7482,0
Method,Most,archiva-1.0-beta-1,7482,0
Method,Most,archiva-1.0-beta-2,7482,0
Method,Most,archiva-1.0-beta-3,7482,0
Method,Most,archiva-1.0-beta-4,7482,0
Method,Most,archiva-1.0.1,7482,0
Method,Most,archiva-parent-1.0-alpha-2,7597,1
Method,Most,archiva-1.0.2,7963,1
Method,Most,archiva-parent-2,7964,0
Method,Most,archiva-parent-3,8335,12
Method,Most,archiva-r676265,8365,0
Method,Most,archiva-1.1,8402,0
Method,Most,archiva-1.1.1,8539,4
Method,Most,archiva-1.1.2,8743,0
Method,Most,archiva-1.1.3,8908,1
Method,Most,archiva-1.2-M1,9556,18
Method,Most,archiva-1.2,9633,0
Method,Most,archiva-1.1.4,9851,1
Method,Most,archiva-1.2.1,10023,1
Method,Most,archiva-1.2.2,10667,2
Method,Most,archiva-parent-4,10669,0
Method,Most,archiva-parent-5,10669,0
Method,Most,archiva-1.3,10892,2
Method,Most,archiva-parent-6,10897,0
Method,Most,archiva-1.3.1,11063,0
Method,Most,archiva-1.3.2,11082,0
Method,Most,archiva-1.3.3,11327,0
Method,Most,archiva-1.3.4,11454,6
Method,Most,archiva-1.3.5,13567,9
Method,Most,archiva-parent-7,13596,0
Method,Most,archiva-1.4-M1,13925,0
Method,Most,archiva-parent-8,13785,0
Method,Most,archiva-1.4-M2,14934,2
Method,Most,archiva-parent-9,14947,0
Method,Most,redback-2.0,14991,0
Method,Most,archiva-1.4-M3,14988,1
Method,Most,archiva-1.3.6,15136,1
Method,Most,archiva-parent-10,15137,0
Method,Most,redback-2.1,15153,0
Method,Most,archiva-1.4-M4,15765,1
Method,Most,archiva-parent-11,15766,0
Method,Most,redback-2.2,15766,0
Method,Most,archiva-2.0.0-RC1,15766,0
Method,Most,archiva-2.0.0-RC2,15766,0
Method,Most,archiva-2.0.0-RC3,15766,0
Method,Most,archiva-2.0.0,15774,1
Method,Most,archiva-parent-12,15838,0
Method,Most,archiva-2.0.1,15857,0
Method,Most,archiva-1.3.7,15933,0
Method,Most,archiva-1.3.8,15950,3
Method,Most,archiva-1.3.9,15953,0
Method,Most,archiva-2.1.0,15960,4
Method,Most,archiva-2.1.1,15929,9
Method,Most,archiva-2.2.0,15940,0
Method,Most,archiva-2.2.1,15955,2
Method,Most,without_jdo,15969,0
Method,Most,archiva-2.2.2,15983,1
Method,All,1.0-beta-1,7482,0
Method,All,archiva-0.9-alpha-1,7482,0
Method,All,archiva-0.9-alpha-2,7482,0
Method,All,archiva-1.0,7482,0
Method,All,archiva-1.0-alpha-1,7482,0
Method,All,archiva-1.0-alpha-2,7482,0
Method,All,archiva-1.0-beta-1,7482,0
Method,All,archiva-1.0-beta-2,7482,0
Method,All,archiva-1.0-beta-3,7482,0
Method,All,archiva-1.0-beta-4,7482,0
