granularity,buggedType,version_name,valid,bug
Method,Most,PreAutoGenerateChange,5320,0
Method,Most,apache-empire-db-2.0.3-incubating,5320,0
Method,Most,apache-empire-db-2.0.4-incubating,5320,0
Method,Most,apache-empire-db-2.0.5-incubating,5320,0
Method,Most,apache-empire-db-2.0.5-incubating-rc1-failed,5320,0
Method,Most,apache-empire-db-2.0.5-incubating-rc2-failed,5320,0
Method,Most,apache-empire-db-2.0.5-incubating-rc3-nonjava5,5320,0
Method,Most,apache-empire-db-2.0.5-incubating-rc4,5320,0
Method,Most,apache-empire-db-2.0.5-incubating-rc5,5320,0
Method,Most,apache-empire-db-2.0.5-incubating-rc6,5320,0
Method,Most,apache-empire-db-2.0.6-incubating,5320,0
Method,Most,apache-empire-db-2.0.6-incubating-rc1,5320,0
Method,Most,apache-empire-db-2.0.6-incubating-rc2,5320,0
Method,Most,apache-empire-db-2.0.6-incubating-rc3,5320,0
Method,Most,apache-empire-db-2.0.6-incubating-rc4,5320,0
Method,Most,apache-empire-db-2.0.7-incubating,5320,0
Method,Most,apache-empire-db-2.0.7-incubating-rc1,5320,0
Method,Most,apache-empire-db-2.0.7-incubating-rc2,5320,0
Method,Most,apache-empire-db-2.1.0-incubating,5320,0
Method,Most,apache-empire-db-2.1.0-incubating-rc1,5320,0
Method,Most,apache-empire-db-2.2.0-incubating,5320,0
Method,Most,apache-empire-db-2.2.0-incubating-rc1,5320,0
Method,Most,apache-empire-struts2-ext-1.0.3-incubating,5320,0
Method,Most,apache-empire-struts2-ext-1.0.4-incubating,5320,0
Method,Most,pre-maven,5378,5
Method,Most,empire-db-parent-2.3.0,5957,3
Method,Most,apache-empire-db-2.4.0-rc1,5960,0
Method,Most,apache-empire-db-2.4.0-rc2,5961,0
Method,Most,apache-empire-db-2.4.0,6105,6
Method,Most,apache-empire-db-2.4.1-rc1,6111,0
Method,Most,apache-empire-db-2.4.1-rc2,6111,0
Method,Most,apache-empire-db-2.4.1,6184,13
Method,Most,apache-empire-db-2.4.2-rc1,6198,0
Method,Most,apache-empire-db-2.4.2,6199,4
Method,Most,apache-empire-db-2.4.3-rc1,6203,0
Method,Most,apache-empire-db-2.4.3,6447,9
Method,Most,apache-empire-db-2.4.4-rc1,6810,11
Method,Most,apache-empire-db-2.4.5-rc1,6824,2
Method,Most,apache-empire-db-2.4.6-rc1,6826,0
Method,Most,apache-empire-db-2.4.6,6826,0
Method,Most,apache-empire-db-2.4.6-rc2,7044,9
Method,Most,apache-empire-db-2.4.7-rc1,7053,0
Method,Most,apache-empire-db-2.4.7,7053,0
Method,All,PreAutoGenerateChange,5320,0
Method,All,apache-empire-db-2.0.3-incubating,5320,0
Method,All,apache-empire-db-2.0.4-incubating,5320,0
Method,All,apache-empire-db-2.0.5-incubating,5320,0
Method,All,apache-empire-db-2.0.5-incubating-rc1-failed,5320,0
Method,All,apache-empire-db-2.0.5-incubating-rc2-failed,5320,0
Method,All,apache-empire-db-2.0.5-incubating-rc3-nonjava5,5320,0
Method,All,apache-empire-db-2.0.5-incubating-rc4,5320,0
Method,All,apache-empire-db-2.0.5-incubating-rc5,5320,0
Method,All,apache-empire-db-2.0.5-incubating-rc6,5320,0
Method,All,apache-empire-db-2.0.6-incubating,5320,0
Method,All,apache-empire-db-2.0.6-incubating-rc1,5320,0
Method,All,apache-empire-db-2.0.6-incubating-rc2,5320,0
Method,All,apache-empire-db-2.0.6-incubating-rc3,5320,0
Method,All,apache-empire-db-2.0.6-incubating-rc4,5320,0
Method,All,apache-empire-db-2.0.7-incubating,5320,0
Method,All,apache-empire-db-2.0.7-incubating-rc1,5320,0
