granularity,buggedType,version_name,valid,bug
Method,Most,BEANUTILS_1_0,2380,0
Method,Most,BEANUTILS_1_1,2380,0
Method,Most,BEANUTILS_1_2,2380,0
Method,Most,BEANUTILS_1_3,2380,0
Method,Most,BEANUTILS_1_4,2380,0
Method,Most,BEANUTILS_1_4_1,2380,0
Method,Most,BEANUTILS_1_5,2380,0
Method,Most,BEANUTILS_1_6,2380,0
Method,Most,BEANUTILS_1_6_1,2380,0
Method,Most,BEANUTILS_1_6_1_RC1,2380,0
Method,Most,BEANUTILS_1_7_0,2380,0
Method,Most,BEANUTILS_1_7_0_RC1,2380,0
Method,Most,RELEASE_BEANUTILS_1_7_0_START,2380,0
Method,Most,STRUTS_1_1_B1,2380,0
Method,Most,STRUTS_1_1_B2,2380,0
Method,Most,STRUTS_1_1_B3,2380,0
Method,Most,STRUTS_1_1_RC1,2380,0
Method,Most,jwsdp_10_ea2_01,2380,0
Method,Most,BEANUTILS_1_8_0_BETA,2456,6
Method,Most,BEANUTILS_1_8_0_RC1,2507,2
Method,Most,BEANUTILS_1_8_0_RC2,2511,1
Method,Most,BEANUTILS_1_8_0_RC3,2512,0
Method,Most,BEANUTILS_1_8_0,2572,16
Method,Most,BEANUTILS_1_8_1_RC1,2588,0
Method,Most,BEANUTILS_1_8_1_RC2,2588,0
Method,Most,BEANUTILS_1_8_1,2593,1
Method,Most,BEANUTILS_1_8_2_RC1,2594,0
Method,Most,BEANUTILS_1_8_2,2603,3
Method,Most,BEANUTILS_1_8_3_RC1,2606,0
Method,Most,BEANUTILS_1_8_3,3545,1
Method,Most,BEANUTILS_1_9_0_RC1,3546,0
Method,Most,BEANUTILS_1_9_0,3564,0
Method,Most,BEANUTILS_1_9_1_RC1,3564,0
Method,Most,BEANUTILS_1_9_1,3583,0
Method,Most,BEANUTILS_1_9_2_RC1,3583,0
Method,Most,BEANUTILS_1_9_2,4594,0
Method,Most,beanutils-1.9.3-RC1,4614,5
Method,Most,BEANUTILS_1_9_3_RC1,4619,0
Method,Most,BEANUTILS_1_9_3_RC2,4619,0
Method,Most,BEANUTILS_1_9_3_RC3,4619,0
Method,All,BEANUTILS_1_0,2380,0
Method,All,BEANUTILS_1_1,2380,0
Method,All,BEANUTILS_1_2,2380,0
Method,All,BEANUTILS_1_3,2380,0
Method,All,BEANUTILS_1_4,2380,0
Method,All,BEANUTILS_1_4_1,2380,0
Method,All,BEANUTILS_1_5,2380,0
Method,All,BEANUTILS_1_6,2380,0
Method,All,BEANUTILS_1_6_1,2380,0
Method,All,BEANUTILS_1_6_1_RC1,2380,0
Method,All,BEANUTILS_1_7_0,2380,0
Method,All,BEANUTILS_1_7_0_RC1,2380,0
Method,All,RELEASE_BEANUTILS_1_7_0_START,2380,0
Method,All,STRUTS_1_1_B1,2380,0
Method,All,STRUTS_1_1_B2,2380,0
Method,All,STRUTS_1_1_B3,2380,0
Method,All,STRUTS_1_1_RC1,2380,0
Method,All,jwsdp_10_ea2_01,2380,0
Method,All,BEANUTILS_1_8_0_BETA,2367,95
Method,All,BEANUTILS_1_8_0_RC1,2446,63
Method,All,BEANUTILS_1_8_0_RC2,2510,2
Method,All,BEANUTILS_1_8_0_RC3,2512,0
