granularity,buggedType,version_name,valid,bug
Method,Most,curator-0.1-SNAPSHOT,445,0
Method,Most,curator-0.2-SNAPSHOT,445,0
Method,Most,curator-0.3-SNAPSHOT,445,0
Method,Most,curator-0.4-SNAPSHOT,445,0
Method,Most,curator-0.5-SNAPSHOT,481,0
Method,Most,curator-0.6-SNAPSHOT,505,0
Method,Most,curator-0.7-SNAPSHOT,505,0
Method,Most,curator-0.8-SNAPSHOT,511,0
Method,Most,curator-0.9-SNAPSHOT,552,0
Method,Most,curator-0.10-SNAPSHOT,561,0
Method,Most,curator-0.11-SNAPSHOT,561,0
Method,Most,curator-0.12-SNAPSHOT,561,0
Method,Most,curator-0.13-SNAPSHOT,602,0
Method,Most,curator-0.14-SNAPSHOT,630,0
Method,Most,curator-0.15-SNAPSHOT,641,0
Method,Most,curator-0.16-SNAPSHOT,644,0
Method,Most,curator-0.17-SNAPSHOT,666,0
Method,Most,curator-0.18-SNAPSHOT,687,0
Method,Most,curator-0.19-SNAPSHOT,687,0
Method,Most,curator-0.20-SNAPSHOT,704,0
Method,Most,curator-0.21-SNAPSHOT,736,0
Method,Most,curator-0.22-SNAPSHOT,740,0
Method,Most,0.23,741,0
Method,Most,0.24,748,0
Method,Most,0.25,748,0
Method,Most,0.26,762,0
Method,Most,0.27,762,0
Method,Most,0.28,762,0
Method,Most,0.29,762,0
Method,Most,0.30,774,0
Method,Most,0.31,793,0
Method,Most,0.32,844,0
Method,Most,0.4.2,868,0
Method,Most,0.4.3,910,0
Method,Most,0.5.1,979,0
Method,Most,0.5.2,1062,0
Method,Most,0.6.1,1063,0
Method,Most,0.6.2,1134,0
Method,Most,0.6.3,1277,0
Method,Most,0.6.4,1397,0
Method,Most,0.100.0,1410,0
Method,Most,1.0.0,1432,0
Method,Most,1.0.1,1468,0
Method,Most,1.1.0,1468,2
Method,Most,1.1.1,1470,0
Method,Most,1.0.2,1500,1
Method,Most,1.1.2,1501,0
Method,Most,1.0.3,1501,0
Method,Most,1.0.3-2,1534,2
Method,Most,1.1.3,1536,0
Method,Most,1.0.3a,1774,6
Method,Most,1.1.9,1780,0
Method,Most,1.0.10,1821,0
Method,Most,1.1.10,1821,0
Method,Most,1.0.11,1879,4
Method,Most,TestLockCleanlinessWithFaults,1881,2
Method,Most,1.1.11,1885,0
Method,Most,1.0.13,1885,0
Method,Most,1.1.12,1972,5
Method,Most,1.1.13,1977,0
Method,Most,1.0.14,1990,2
Method,Most,1.1.14,1992,0
Method,Most,1.0.15,1992,0
Method,Most,1.0.16,2022,3
Method,Most,1.1.15,2025,0
Method,Most,1.0.15-2,2025,0
Method,Most,1.0.16-2,2049,6
Method,Most,1.1.16,2055,0
Method,Most,1.0.17,2062,3
Method,Most,1.1.17,2304,29
Method,Most,curator-2.0.0,2333,0
Method,Most,apache-curator-2.0.1,2333,0
Method,Most,apache-curator-2.0.0-incubating,2422,5
Method,Most,apache-curator-2.0.1-incubating,2486,1
Method,Most,apache-curator-2.1.0-incubating,2541,0
Method,Most,next-release,2542,0
Method,Most,apache-curator-2.2.0-incubating,2708,1
Method,Most,apache-curator-2.3.0,2721,3
Method,Most,apache-curator-2.3.1,2866,3
Method,Most,2.4.0,2883,3
Method,Most,apache-curator-2.4.1,2907,1
Method,Most,apache-curator-2.4.2,2945,1
Method,Most,apache-curator-2.5.0,5353,5
Method,Most,apache-curator-2.6.0,5543,29
Method,Most,apache-curator-2.7.0,5710,9
Method,Most,apache-curator-2.8.0,6135,14
Method,Most,apache-curator-2.9.0,6149,0
Method,Most,apache-curator-2.9.0-rc1,6229,2
Method,Most,apache-curator-3.0.0,6231,0
Method,Most,apache-curator-3.0.0-SNAPSHOT,6236,0
Method,Most,apache-curator-2.9.1,6345,6
Method,Most,apache-curator-3.1.0,6351,0
Method,Most,apache-curator-2.10.0,6511,2
Method,Most,apache-curator-2.11.0-SNAPSHOT,6512,1
Method,Most,apache-curator-3.2.0-SNAPSHOT,6529,0
Method,Most,apache-curator-2.11.0,6529,0
Method,Most,apache-curator-3.2.0,6575,5
Method,Most,apache-curator-2.11.1,6580,0
Method,Most,apache-curator-3.2.1,6825,11
Method,Most,apache-curator-2.12.0,6836,0
Method,Most,apache-curator-3.3.0,5344,12
Method,Most,apache-curator-4.0.0,5367,3
Method,All,curator-0.1-SNAPSHOT,445,0
Method,All,curator-0.2-SNAPSHOT,445,0
Method,All,curator-0.3-SNAPSHOT,445,0
Method,All,curator-0.4-SNAPSHOT,445,0
