% []
@RELATION base

@ATTRIBUTE NCSS NUMERIC
@ATTRIBUTE FileLen NUMERIC
@ATTRIBUTE sum_ifs NUMERIC
@ATTRIBUTE len_mccab NUMERIC
@ATTRIBUTE sum_mccab NUMERIC
@ATTRIBUTE mean_mccab NUMERIC
@ATTRIBUTE var_mccab NUMERIC
@ATTRIBUTE max_mccab NUMERIC
@ATTRIBUTE sum_fanOut NUMERIC
@ATTRIBUTE mean_fanOut NUMERIC
@ATTRIBUTE median_fanOut NUMERIC
@ATTRIBUTE max_fanOut NUMERIC
@ATTRIBUTE min_fanOut NUMERIC
@ATTRIBUTE len_NPath NUMERIC
@ATTRIBUTE sum_NPath NUMERIC
@ATTRIBUTE mean_NPath NUMERIC
@ATTRIBUTE var_NPath NUMERIC
@ATTRIBUTE max_NPath NUMERIC
@ATTRIBUTE len_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_JavaNCSSmet NUMERIC
@ATTRIBUTE mean_JavaNCSSmet NUMERIC
@ATTRIBUTE var_JavaNCSSmet NUMERIC
@ATTRIBUTE max_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_coupl NUMERIC
@ATTRIBUTE mean_coupl NUMERIC
@ATTRIBUTE median_coupl NUMERIC
@ATTRIBUTE max_coupl NUMERIC
@ATTRIBUTE min_coupl NUMERIC
@ATTRIBUTE len_executables NUMERIC
@ATTRIBUTE sum_executables NUMERIC
@ATTRIBUTE var_executables NUMERIC
@ATTRIBUTE max_executables NUMERIC
@ATTRIBUTE len_lens NUMERIC
@ATTRIBUTE sum_lens NUMERIC
@ATTRIBUTE var_lens NUMERIC
@ATTRIBUTE max_lens NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
102,276,1.0,17.0,33.0,1.94117647059,1.58477508651,6.0,11.0,11.0,11.0,11.0,11.0,17.0,35.0,2.05882352941,2.87889273356,8.0,17.0,88.0,5.17647058824,14.1453287197,13.0,6.0,6.0,6.0,6.0,6.0,17.0,60.0,9.42560553633,11.0,17.0,119.0,25.8823529412,20.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
26,65,0.0,3.0,4.0,1.33333333333,0.222222222222,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.33333333333,0.222222222222,2.0,3.0,15.0,5.0,12.6666666667,10.0,2.0,2.0,2.0,2.0,2.0,3.0,11.0,9.55555555556,8.0,3.0,21.0,24.6666666667,14.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
241,606,5.0,30.0,67.0,2.23333333333,23.5122222222,28.0,17.0,17.0,17.0,17.0,17.0,30.0,1047.0,34.9,32519.3566667,1006.0,30.0,195.0,6.5,200.383333333,81.0,3.0,3.0,3.0,3.0,3.0,28.0,146.0,144.025510204,66.0,28.0,288.0,599.846938776,136.0,valid
97,346,0.0,25.0,29.0,1.16,0.1344,2.0,7.0,7.0,7.0,7.0,7.0,25.0,29.0,1.16,0.1344,2.0,25.0,68.0,2.72,4.7616,11.0,1.0,1.0,1.0,1.0,1.0,25.0,43.0,4.7616,10.0,25.0,94.0,5.4624,13.0,valid
28,74,0.0,3.0,6.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,2.0,2.0,4.0,3.0,19.0,6.33333333333,29.5555555556,14.0,1.0,1.0,1.0,1.0,1.0,3.0,14.0,20.2222222222,11.0,3.0,27.0,60.6666666667,20.0,valid
40,85,0.0,3.0,4.0,1.33333333333,0.222222222222,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.33333333333,0.222222222222,2.0,3.0,27.0,9.0,32.6666666667,17.0,2.0,2.0,2.0,2.0,2.0,3.0,24.0,32.6666666667,16.0,3.0,38.0,89.5555555556,26.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
26,71,0.0,3.0,4.0,1.33333333333,0.222222222222,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.33333333333,0.222222222222,2.0,3.0,15.0,5.0,12.6666666667,10.0,2.0,2.0,2.0,2.0,2.0,3.0,11.0,9.55555555556,8.0,3.0,21.0,24.6666666667,14.0,valid
