% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
3,357,8,3,3,119.0,2.66666666667,119.0,2.66666666667,0,2,132,856463627.658,-39233322.7552,valid
2,851,6,2,2,425.5,3.0,425.5,3.0,0,2,64,2073097542.23,-28788905.7314,valid
2,18,472,2,2,9.0,236.0,9.0,236.0,0,1,1,-1114114465.61,-2316638408.25,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,941,6,3,3,313.666666667,2.0,313.666666667,2.0,0,2,141,2294532502.8,-29359236.995,valid
1,115,2,1,1,115.0,2.0,115.0,2.0,0,1,63,277230795.589,-9726329.3594,valid
1,1047,2,1,1,1047.0,2.0,1047.0,2.0,0,1,63,2563771516.73,-9007533.5931,valid
1,522,2,1,1,522.0,2.0,522.0,2.0,0,1,63,1275752333.68,-9412434.64171,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,750,8,4,4,187.5,2.0,187.5,2.0,0,2,142,1820900376.36,-39192510.9649,bugged
1,937,2,1,1,937.0,2.0,937.0,2.0,0,1,58,2294056665.95,-9248871.87259,valid
12,1554,2625,12,12,129.5,218.75,129.5,218.75,0,3,187,-2628280352.01,-12883811108.8,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,383,2,1,1,383.0,2.0,383.0,2.0,0,1,58,934797422.168,-9583804.44769,valid
2,1416,6,2,2,708.0,3.0,708.0,3.0,0,2,64,3459251520.18,-28353155.0791,valid
1,1457,2,1,1,1457.0,2.0,1457.0,2.0,0,1,63,3569653164.44,-8691325.15514,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,95,208,3,3,31.6666666667,69.3333333333,31.6666666667,69.3333333333,0,2,46,-277275563.905,-1020821049.62,valid
1,127,2,1,1,127.0,2.0,127.0,2.0,0,1,19,306700590.574,-9747370.40301,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,452,2,1,1,452.0,2.0,452.0,2.0,0,1,58,1104091443.51,-9542089.01866,valid
2,1812,82,2,2,906.0,41.0,906.0,41.0,0,2,41,4244737696.96,-401480996.797,valid
6,198,59,6,6,33.0,9.83333333333,33.0,9.83333333333,0,2,154,341111813.109,-289563426.516,valid
2,16,24,2,2,8.0,12.0,8.0,12.0,0,2,30,-19632176.9726,-117794094.076,valid
4,685,16,4,4,171.25,4.0,171.25,4.0,0,2,61,1641759046.64,-78468272.2805,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,24,128,2,2,12.0,64.0,12.0,64.0,0,2,34,-255200862.901,-628214243.834,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,27,0.0,-19628527.188,valid
11,583,502,11,11,53.0,45.6363636364,53.0,45.6363636364,0,3,190,198775887.495,-2463850741.53,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
10,541,1147,10,10,54.1,114.7,54.1,114.7,0,2,162,-1487165191.56,-5629653920.77,valid
4,114,101,4,4,28.5,25.25,28.5,25.25,0,2,154,31902747.8718,-495715564.505,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,255,2,1,1,255.0,2.0,255.0,2.0,0,1,63,620702577.734,-9618355.74644,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,43,47,2,2,21.5,23.5,21.5,23.5,0,2,34,-9815417.80389,-230658848.198,valid
1,1442,2,1,1,1442.0,2.0,1442.0,2.0,0,1,2,3533141703.38,-8992783.8094,valid
2,910,10,2,2,455.0,5.0,455.0,5.0,0,2,64,2208032885.22,-48373611.6462,valid
1,1342,2,1,1,1342.0,2.0,1342.0,2.0,0,1,58,3287738965.1,-9004020.44134,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,34,0.0,-19628527.0465,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,119,2,1,1,119.0,2.0,119.0,2.0,0,1,58,287063775.311,-9743411.30657,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,204,6,2,2,102.0,3.0,102.0,3.0,0,2,22,485881724.689,-29409899.6087,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,255,2,1,1,255.0,2.0,255.0,2.0,0,1,2,620882777.356,-9801404.3742,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,397,2,1,1,397.0,2.0,397.0,2.0,0,1,63,969081099.624,-9508839.65329,valid
3,572,1068,3,3,190.666666667,356.0,190.666666667,356.0,1,2,28,-1217205853.53,-5241861737.12,valid
4,426,437,4,4,106.5,109.25,106.5,109.25,0,2,154,-26994258.2227,-2144833958.6,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
6,143,74,6,6,23.8333333333,12.3333333333,23.8333333333,12.3333333333,0,2,154,169329336.201,-363192109.209,valid
1,2612,2,1,1,2612.0,2.0,2612.0,2.0,0,1,63,6403295367.13,-7800542.84819,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,793,57,4,4,198.25,14.25,198.25,14.25,0,2,131,1805703985.74,-279215328.247,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
10,582,1140,10,10,58.2,114.0,58.2,114.0,0,2,187,-1369356099.81,-5595271418.16,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,187,2,1,1,187.0,2.0,187.0,2.0,0,1,58,453904260.108,-9702300.44898,valid
1,452,2,1,1,452.0,2.0,452.0,2.0,0,1,4,1104346852.68,-9799768.49954,valid
