% []
@RELATION base

@ATTRIBUTE NCSS NUMERIC
@ATTRIBUTE FileLen NUMERIC
@ATTRIBUTE sum_ifs NUMERIC
@ATTRIBUTE len_mccab NUMERIC
@ATTRIBUTE sum_mccab NUMERIC
@ATTRIBUTE mean_mccab NUMERIC
@ATTRIBUTE var_mccab NUMERIC
@ATTRIBUTE max_mccab NUMERIC
@ATTRIBUTE sum_fanOut NUMERIC
@ATTRIBUTE mean_fanOut NUMERIC
@ATTRIBUTE median_fanOut NUMERIC
@ATTRIBUTE max_fanOut NUMERIC
@ATTRIBUTE min_fanOut NUMERIC
@ATTRIBUTE len_NPath NUMERIC
@ATTRIBUTE sum_NPath NUMERIC
@ATTRIBUTE mean_NPath NUMERIC
@ATTRIBUTE var_NPath NUMERIC
@ATTRIBUTE max_NPath NUMERIC
@ATTRIBUTE len_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_JavaNCSSmet NUMERIC
@ATTRIBUTE mean_JavaNCSSmet NUMERIC
@ATTRIBUTE var_JavaNCSSmet NUMERIC
@ATTRIBUTE max_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_coupl NUMERIC
@ATTRIBUTE mean_coupl NUMERIC
@ATTRIBUTE median_coupl NUMERIC
@ATTRIBUTE max_coupl NUMERIC
@ATTRIBUTE min_coupl NUMERIC
@ATTRIBUTE len_executables NUMERIC
@ATTRIBUTE sum_executables NUMERIC
@ATTRIBUTE var_executables NUMERIC
@ATTRIBUTE max_executables NUMERIC
@ATTRIBUTE len_lens NUMERIC
@ATTRIBUTE sum_lens NUMERIC
@ATTRIBUTE var_lens NUMERIC
@ATTRIBUTE max_lens NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
43,99,5.0,2.0,10.0,5.0,16.0,9.0,8.0,8.0,8.0,8.0,8.0,2.0,25.0,12.5,132.25,24.0,2.0,26.0,13.0,64.0,21.0,1.0,1.0,1.0,1.0,1.0,2.0,16.0,16.0,12.0,2.0,53.0,420.25,47.0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
11,41,0.0,2.0,3.0,1.5,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.5,0.25,2.0,2.0,7.0,3.5,2.25,5.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,5.0,2.25,4.0,2.0,12.0,9.0,9.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
13,42,0.0,4.0,4.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,1.0,4.0,9.0,2.25,0.1875,3.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.0,5.0,0.1875,2.0,4.0,13.0,0.1875,4.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
7,35,0.0,2.0,2.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,0.0,1.0,2.0,6.0,0.0,3.0,valid
15,41,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,10.0,0.0,10.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,9.0,0.0,9.0,1.0,11.0,0.0,11.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
38,85,0.0,10.0,12.0,1.2,0.36,3.0,3.0,3.0,3.0,3.0,3.0,10.0,12.0,1.2,0.36,3.0,10.0,30.0,3.0,2.4,7.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.0,16.0,1.44,5.0,10.0,38.0,3.16,9.0,valid
14,45,0.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,0.0,4.0,1.0,8.0,8.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,1.0,14.0,0.0,14.0,valid
89,183,0.0,13.0,29.0,2.23076923077,1.10059171598,5.0,17.0,17.0,17.0,17.0,17.0,13.0,36.0,2.76923076923,5.10059171598,8.0,13.0,150.0,11.5384615385,139.017751479,37.0,6.0,6.0,6.0,6.0,6.0,13.0,34.0,2.69822485207,6.0,13.0,298.0,649.917159763,79.0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
27,105,0.0,7.0,7.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,1.0,0.0,1.0,7.0,16.0,2.28571428571,0.204081632653,3.0,2.0,2.0,2.0,2.0,2.0,7.0,9.0,0.204081632653,2.0,7.0,24.0,0.530612244898,5.0,bugged
21,54,0.0,2.0,5.0,2.5,2.25,4.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,6.0,3.0,4.0,5.0,2.0,16.0,8.0,25.0,13.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,13.0,20.25,11.0,2.0,22.0,36.0,17.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
23,57,0.0,6.0,6.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,1.0,0.0,1.0,6.0,15.0,2.5,0.25,3.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.0,9.0,0.25,2.0,6.0,21.0,0.25,4.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
57,138,0.0,12.0,18.0,1.5,0.916666666667,4.0,1.0,1.0,1.0,1.0,1.0,12.0,17.0,1.41666666667,0.743055555556,4.0,12.0,47.0,3.91666666667,11.5763888889,13.0,1.0,1.0,1.0,1.0,1.0,12.0,23.0,2.24305555556,5.0,12.0,59.0,11.5763888889,14.0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
16,49,0.0,3.0,6.0,2.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,2.0,0.0,2.0,3.0,12.0,4.0,0.0,4.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.0,9.0,0.0,3.0,3.0,21.0,0.0,7.0,valid
5,61,0.0,3.0,3.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,1.0,-999.0,0.0,-999.0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
7,37,0.0,2.0,2.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,0.0,1.0,2.0,6.0,0.0,3.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
53,149,0.0,13.0,17.0,1.30769230769,0.366863905325,3.0,4.0,4.0,4.0,4.0,4.0,13.0,16.0,1.23076923077,0.177514792899,2.0,13.0,32.0,2.46153846154,0.863905325444,5.0,2.0,2.0,2.0,2.0,2.0,13.0,14.0,0.0710059171598,2.0,13.0,47.0,1.31360946746,6.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
51,105,0.0,6.0,11.0,1.83333333333,2.13888888889,5.0,5.0,2.5,2.5,3.0,2.0,6.0,14.0,2.33333333333,6.55555555556,8.0,6.0,34.0,5.66666666667,15.2222222222,11.0,3.0,1.5,1.5,2.0,1.0,4.0,26.0,5.25,9.0,4.0,51.0,26.1875,19.0,valid
24,58,0.0,3.0,7.0,2.33333333333,1.55555555556,4.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,2.33333333333,1.55555555556,4.0,3.0,16.0,5.33333333333,2.88888888889,7.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,1.55555555556,5.0,3.0,25.0,2.88888888889,10.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
220,566,0.0,38.0,65.0,1.71052631579,1.83725761773,8.0,30.0,7.5,5.0,19.0,1.0,38.0,75.0,1.97368421053,6.39404432133,16.0,38.0,158.0,4.15789473684,8.13296398892,11.0,11.0,5.5,5.5,9.0,2.0,36.0,113.0,6.2862654321,9.0,37.0,313.0,54.0321402484,28.0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
10,104,0.0,4.0,4.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,0.0,-999.0,1.0,-999.0,0.0,-999.0,bugged
31,71,0.0,2.0,6.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,2.5,2.25,4.0,2.0,19.0,9.5,56.25,17.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,6.25,6.0,2.0,33.0,182.25,30.0,valid
